    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     5:42.51       60448796 B   ---   --   ---xx   flac  0.5899  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\03. Just Like A Woman.flac
     3:10.39       33607772 B   ---   --   ---xx   flac  0.6355  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\04. Highway 61 Revisited.flac
     6:33.17       69365228 B   ---   --   ---xx   flac  0.5495  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\05. I And I.flac
     0:31.07        5484908 B   ---   --   ---xx   flac  0.6567  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\06. Shelter From The Storm #1.flac
     3:51.21       40797836 B   ---   --   ---xx   flac  0.5877  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\07. Shelter From The Storm #2.flac
     0:59.62       10553468 B   ---   --   ---xx   flac  0.5782  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\08. (instrumental).flac
     3:18.35       35009564 B   ---   --   ---xx   flac  0.6130  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\09. License To Kill.flac
     3:33.27       37636748 B   ---   --   ---xx   flac  0.6106  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\10. Ballad Of A Thin Man.flac
     3:15.21       34447436 B   ---   --   ---xx   flac  0.6196  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\11. When You Gonna Wake Up.flac
     3:24.19       36030332 B   ---   --   ---xx   flac  0.5861  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\12. To Ramona.flac
     1:01.46       10868636 B   ---   --   ---xx   flac  0.5908  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 03\13. Girl From The North Country.flac
   165:24.46     1750704872 B                            0.6004  (70 files)
